City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Mabaruma,GY,75.78,broken clouds,8.2,-59.7833,Monty Brooms Guest House
553,Tanete,ID,74.82,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
557,Cuamba,MZ,70.84,light rain,-14.8031,36.5372,Hotel Vision
560,Takoradi,GH,80.69,clear sky,4.8845,-1.7554,Raybow International Hotel
564,Wamba,NG,72.77,clear sky,8.9333,8.6,Roma Zee Guest House Annex
567,Bull Savanna,JM,80.02,clear sky,17.8868,-77.5902,Big Red's
568,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
572,Mecca,SA,71.55,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
575,Nioro,GM,84.72,overcast clouds,13.35,-15.75,
579,Apartado,CO,84.06,scattered clouds,7.883,-76.6259,Towers100 Aparta Estudios
581,Jerantut,MY,71.1,overcast clouds,3.936,102.3626,Jerantut Hill Resort
583,Sao Raimundo Nonato,BR,82.71,light rain,-9.0153,-42.6994,Real Hotel
586,Boma,GH,75.72,few clouds,7.0805,-2.1697,Obaatanpa Hotel
588,Hobyo,SO,79.83,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
591,Taoudenni,ML,78.01,overcast clouds,22.6783,-3.9836,
598,Atar,MR,73.44,overcast clouds,20.5169,-13.0499,Oumou Elghoura
601,Christchurch,NZ,75.4,broken clouds,-43.5333,172.6333,The George
610,Omboue,GA,78.58,overcast clouds,-1.5746,9.2618,Hotel Olako
611,Anori,BR,80.65,moderate rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
613,Makakilo City,US,77.32,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
614,Boali,CF,80.47,scattered clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
620,Nieuw Amsterdam,SR,84.36,few clouds,5.8833,-55.0833,Hotel Stardust
623,Senanga,ZM,70.5,overcast clouds,-16.1167,23.2667,Zango lodge
626,Urbano Santos,BR,82.36,overcast clouds,-3.2078,-43.4036,Pousada Santa Dulce
629,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
635,Haapiti,PF,83.93,moderate rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
638,Jember,ID,76.35,moderate rain,-8.166,113.7032,Hotel 88 Jember
641,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
644,Ewo,CG,77.09,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
647,Pasni,PK,70.99,overcast clouds,25.2631,63.471,Kashmiri Hotal
648,Mitsamiouli,KM,80.56,scattered clouds,-11.3847,43.2844,Foyer ADM
649,Dogondoutchi,NE,70.18,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
651,Ngama,TD,72.37,few clouds,11.7833,17.1667,
652,Sharjah,AE,73.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
656,Somerset West,ZA,75.06,overcast clouds,-34.084,18.8211,Lourens River Guesthouse
658,Sabang,ID,75.81,overcast clouds,5.8933,95.3214,Hotel Citra
661,Ambon,ID,77.14,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
663,Belmonte,BR,82.4,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
665,Guiglo,CI,79.03,scattered clouds,6.5456,-7.4966,Hotel GBAOLY 2
668,Kaeo,NZ,71.33,clear sky,-35.1,173.7833,Bushido Lodge
673,Eirunepe,BR,82.49,moderate rain,-6.6603,-69.8736,Atrás de você
676,Padre Bernardo,BR,75.13,light rain,-15.35,-48.5,
681,Nalundan,PH,74.91,few clouds,9.75,123.0667,
683,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
689,Charters Towers,AU,75.18,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
690,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
692,Coolum Beach,AU,76.1,scattered clouds,-26.5333,153.1,Palmer Coolum Resort
693,San Juan De Los Morros,VE,82.33,broken clouds,9.9115,-67.3538,Hotel La Montaña
696,Kikwit,CD,72.66,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
699,Sigli,ID,74.19,moderate rain,5.3848,95.9609,Losmen Dua Mali
702,Empalme,MX,73.35,clear sky,27.9667,-110.8167,casa alejandro lopez
703,Salalah,OM,77.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
708,Maroantsetra,MG,75.2,overcast clouds,-15.4333,49.7333,Annexe Vatsy Hôtel
712,Conakry,GN,84.27,haze,9.538,-13.6773,Riviera Royal Hotel
